Nicole Bahls tenta perder 7kg: 'Quero ser teen, porque adoro um garotinho'
Nicole Bahls,60
Adriana Birolli,57
Adriana Bombom,57
Adriana Calcanhotto,57
Adriana Esteves,57
Adriana Lima,57
Adriana Prado,57
Adriana SantAnna,57
A.J. McLean,57
Aline Mattos,57
Ana Beatriz Nogueira,57
Ana Carolina Dias,57
Ana Paula Nogueira,57
Anna Dello Russo,57
Anna Faris,57
Anna Kendrick,57
Anna Lima,57
Anna Paquin,57
Anna Rita Cerqueira,57
Anna Wintour,57
Ariany Nogueira,57
Carol Dias,57
Cássio Gabus Mendes,57
Coco Rocha,57
Cristiane Dias,57
Daniel Rocha,57
Débora Duarte,57
Denise Rocha,57
Diogo Nogueira,57
Eike Duarte,57
Eva Mendes,57
Gabriela Duarte,57
Guilherme Duarte,57
Heloísa Périssé,57
Jessie J,57
Jô Soares,57
Julio Rocha,57
Léa Seydoux,57
Lima Duarte,57
Luane Dias,57
Luiz Henrique Nogueira,57
Mariah Rocha,57
Marlene Mattos,57
Mayra Dias Gomes,57
Milena Nogueira,57
Nicole Kidman,57
Nicole Richie,57
Nicole Scherzinger,57
Paloma Duarte,57
Paulo Rocha,57
Regina Duarte,57
Roberta Sá,57
Tato Gabus Mendes,57
Uma Thurman,57
